row_id,station,zona,date,lat,lon,secchi,chl,tss,temp_insitu,sensor,matched,n_img,B2,B3,B4,B8,B11,B12,lst_C
505,E145,LAGO MENOR,2018-07-30,-16.5139,-68.977,6.5,2.21,0.57,10.5,LS,1,5.0,0.02637,0.02449,0.0147,0.0443,0.03217,0.01345,10.52
506,E144,LAGO MENOR,2018-07-30,-16.56,-68.9168,,1.35,0.29,10.6,LS,1,5.0,0.0257,0.0252,0.01498,0.04403,0.03134,0.0125,10.66
507,E147,LAGO MENOR,2018-07-30,-16.493,-69.0596,,2.22,2.0,11.3,LS,1,1.0,0.02636,0.03199,0.0173,0.04411,0.03127,0.01248,11.14
508,E150,LAGO MENOR,2018-07-30,-16.5583,-69.0356,,1.19,0.57,11.0,LS,1,5.0,0.02743,0.03461,0.01872,0.04471,0.03518,0.01783,10.77
509,E01,BAHIA PUNO,2019-07-11,-15.8522,-69.9607,8.0,1.62,10.5,13.1,LS,1,1.0,0.03975,0.03428,0.02456,0.05238,0.0356,0.01558,14.94
510,E02,BAHIA PUNO,2019-07-11,-15.8464,-69.9276,8.0,1.1,12.0,13.0,LS,1,1.0,0.02736,0.02385,0.01457,0.04441,0.03214,0.0135,13.69
511,E03,BAHIA PUNO,2019-07-11,-15.8744,-69.9078,,1.62,8.5,14.0,LS,1,1.0,0.02402,0.02823,0.01294,0.0435,0.03239,0.01388,14.35
512,E04,BAHIA PUNO,2019-07-11,-15.8752,-69.8717,1.5,1.54,21.5,13.5,LS,1,1.0,0.02463,0.02985,0.01433,0.04374,0.03204,0.01351,13.88
513,E05,BAHIA PUNO,2019-07-11,-15.84,-69.892,8.0,0.59,10.75,13.6,LS,1,1.0,0.02557,0.02155,0.01294,0.04347,0.03182,0.0131,13.67
514,E07,BAHIA PUNO,2019-07-11,-15.758,-69.8783,,1.7,8.5,12.7,LS,1,1.0,0.02393,0.02404,0.01739,0.05066,0.04458,0.02385,12.86
515,E08,BAHIA PUNO,2019-07-11,-15.7798,-69.8691,10.0,1.1,6.5,13.0,LS,1,1.0,0.0394,0.03862,0.03154,0.06453,0.06213,0.03504,11.1
516,E09,BAHIA PUNO,2019-07-11,-15.8348,-69.8603,,2.05,12.0,13.6,LS,1,1.0,0.03216,0.03951,0.02457,0.05942,0.06017,0.03963,11.22
517,E14,BAHIA PUNO,2019-07-12,-15.7489,-69.783,9.0,0.51,15.0,13.0,LS,1,1.0,0.02695,0.02486,0.01686,0.04908,0.04124,0.02066,12.21
518,E16,BAHIA PUNO,2019-07-11,-15.6728,-69.8539,3.5,1.1,11.75,12.8,LS,1,1.0,0.03587,0.03845,0.02878,0.0614,0.05295,0.03053,11.94
519,E17,BAHIA PUNO,2019-07-12,-15.6054,-69.9049,3.0,3.9,7.75,10.2,LS,1,1.0,0.02574,0.02864,0.02311,0.05352,0.0402,0.01883,12.94
520,E25,LAGO MAYOR,2019-07-12,-15.4911,-69.8931,6.1,1.02,20.5,13.2,LS,1,1.0,0.02341,0.02108,0.01279,0.04392,0.03258,0.01398,15.16
521,E28,LAGO MAYOR,2019-07-12,-15.3928,-69.7822,7.0,0.59,9.25,13.0,LS,1,1.0,0.02737,0.022,0.0127,0.04321,0.0316,0.01289,14.18
522,E32,LAGO MAYOR,2019-07-12,-15.3382,-69.7205,6.0,0.52,15.0,12.9,LS,1,1.0,0.02729,0.02171,0.01307,0.04325,0.03144,0.01316,13.99
523,E36,LAGO MAYOR,2019-07-12,-15.2964,-69.6816,11.0,1.27,12.75,13.0,LS,1,1.0,0.02007,0.022,0.01652,0.0507,0.04775,0.02694,11.0
524,E39,LAGO MAYOR,2019-07-13,-15.3423,-69.529,8.0,1.19,15.0,12.6,LS,1,1.0,0.04682,0.05579,0.06818,0.12551,0.13913,0.09806,15.68
525,E41,LAGO MAYOR,2019-07-13,-15.4395,-69.6006,9.5,0.52,10.25,13.1,LS,1,1.0,0.02574,0.02035,0.01265,0.04345,0.03175,0.01322,13.75
526,E42,LAGO MAYOR,2019-07-13,-15.4967,-69.6687,10.0,0.59,4.75,13.8,LS,1,1.0,0.02708,0.02136,0.01342,0.04401,0.03198,0.01344,13.64
527,E43,LAGO MAYOR,2019-07-13,-15.5603,-69.7413,12.0,1.53,11.25,13.8,LS,1,1.0,0.02716,0.02131,0.01309,0.04356,0.03169,0.01317,13.26
528,E22,LAGO MAYOR,2019-07-13,-15.62,-69.8133,6.0,1.03,4.25,13.4,LS,1,1.0,0.02303,0.01994,0.01262,0.04432,0.03338,0.01483,15.04
529,E48,LAGO MAYOR,2019-07-14,-15.5266,-69.3605,,1.11,6.5,13.1,LS,0,,,,,,,,
