sensor,station,zona,date,lat,lon,secchi,w1_n,w1_B2,w1_B3,w1_B4,w1_B8,w1_B11,w1_B12,w3_n,w3_B2,w3_B3,w3_B4,w3_B8,w3_B11,w3_B12,w5_n,w5_B2,w5_B3,w5_B4,w5_B8,w5_B11,w5_B12,w10_n,w10_B2,w10_B3,w10_B4,w10_B8,w10_B11,w10_B12
LS,E68,LAGO MAYOR,2015-07-28,-15.993500,-69.427800,7.000000,0,,,,,,,0,,,,,,,0,,,,,,,2,0.024947,0.019703,0.013404,0.044206,0.031268,0.012346
LS,E72,LAGO MAYOR,2015-07-26,-15.692100,-69.170900,6.000000,0,,,,,,,0,,,,,,,1,0.028927,0.030447,0.014649,0.043330,0.031958,0.013173,1,0.028927,0.030447,0.014649,0.043330,0.031958,0.013173
LS,E73,LAGO MAYOR,2015-07-26,-15.720200,-69.162800,5.200000,0,,,,,,,0,,,,,,,1,0.031269,0.032342,0.015568,0.044278,0.032096,0.013297,1,0.031269,0.032342,0.015568,0.044278,0.032096,0.013297
LS,E74,LAGO MAYOR,2015-07-26,-15.765600,-69.147700,8.000000,0,,,,,,,0,,,,,,,1,0.026311,0.022334,0.013134,0.043648,0.031300,0.012567,1,0.026311,0.022334,0.013134,0.043648,0.031300,0.012567
LS,E75,LAGO MAYOR,2015-07-26,-15.754400,-69.087000,5.000000,0,,,,,,,0,,,,,,,1,0.026877,0.023288,0.013519,0.043600,0.031360,0.012479,1,0.026877,0.023288,0.013519,0.043600,0.031360,0.012479
LS,E76,LAGO MAYOR,2015-07-26,-15.812500,-69.044900,8.000000,0,,,,,,,0,,,,,,,1,0.026238,0.022240,0.013196,0.044071,0.031867,0.012916,1,0.026238,0.022240,0.013196,0.044071,0.031867,0.012916
LS,E77,LAGO MAYOR,2015-07-26,-15.885200,-69.034900,7.500000,0,,,,,,,0,,,,,,,1,0.024039,0.019639,0.012665,0.043879,0.031754,0.012752,1,0.024039,0.019639,0.012665,0.043879,0.031754,0.012752
LS,E78,LAGO MAYOR,2015-07-30,-15.890300,-69.132700,11.000000,0,,,,,,,0,,,,,,,0,,,,,,,2,0.026080,0.020922,0.013517,0.044275,0.031502,0.012574
LS,E79,LAGO MAYOR,2015-07-29,-15.960000,-69.227200,9.000000,0,,,,,,,0,,,,,,,0,,,,,,,2,0.024381,0.019830,0.012435,0.043634,0.031667,0.012886
LS,E80,LAGO MAYOR,2015-07-29,-16.031600,-69.319800,10.000000,0,,,,,,,0,,,,,,,0,,,,,,,2,0.024215,0.018647,0.012734,0.043953,0.031257,0.012352
LS,E81,LAGO MAYOR,2015-07-30,-16.035200,-69.388500,10.000000,0,,,,,,,0,,,,,,,0,,,,,,,2,0.024118,0.019063,0.013128,0.044161,0.031151,0.012346
