row_id,station,zona,date,lat,lon,secchi,chl,tss,temp_insitu,ph,do,matched,n_img,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
219,E32,LAGO MAYOR,2019-07-12,-15.3382,-69.7205,6.0,0.52,15.0,12.9,8.56,6.62,1,4.0,0.0014,0.00335,0.00491,0.0001,0.00109,0.00039,0.00039,0.0001,0.0001,0.00064,0.00139
220,E36,LAGO MAYOR,2019-07-12,-15.2964,-69.6816,11.0,1.27,12.75,13.0,8.54,6.57,1,4.0,0.00114,0.0042,0.00697,0.00022,0.00102,0.00025,0.00041,0.0001,0.00012,0.00066,0.00083
221,E39,LAGO MAYOR,2019-07-13,-15.3423,-69.529,8.0,1.19,15.0,12.6,8.51,6.57,1,4.0,0.01611,0.02988,0.05142,0.07505,0.09165,0.10732,0.11677,0.1224,0.13127,0.19788,0.14181
222,E41,LAGO MAYOR,2019-07-13,-15.4395,-69.6006,9.5,0.52,10.25,13.1,8.51,6.57,1,8.0,0.0001,0.00179,0.0027,0.00011,0.00102,0.00031,0.00027,0.0001,0.0001,0.00097,0.00128
223,E42,LAGO MAYOR,2019-07-13,-15.4967,-69.6687,10.0,0.59,4.75,13.8,8.32,6.31,1,4.0,0.00305,0.00863,0.00718,0.00217,0.00284,0.00215,0.00221,0.00105,0.00104,0.00127,0.00128
224,E43,LAGO MAYOR,2019-07-13,-15.5603,-69.7413,12.0,1.53,11.25,13.8,8.41,6.37,1,4.0,0.00284,0.00973,0.00774,0.00181,0.00297,0.00187,0.00205,0.00078,0.00095,0.00092,0.00131
225,E22,LAGO MAYOR,2019-07-13,-15.62,-69.8133,6.0,1.03,4.25,13.4,8.33,6.46,1,4,0.0001,0.00516,0.00449,0.00024,0.00095,0.00022,0.00025,0.0001,0.00011,0.00326,0.00355
226,E48,LAGO MAYOR,2019-07-14,-15.5266,-69.3605,,1.11,6.5,13.1,8.36,6.43,1,4,0.00576,0.00465,0.00595,0.00144,0.00094,0.00082,0.00102,0.00064,0.00105,0.00337,0.00352
227,E49,LAGO MAYOR,2019-07-14,-15.6063,-69.4449,12.0,0.52,10.0,13.4,8.31,6.39,1,4,0.0051,0.00963,0.00818,0.00292,0.00338,0.00249,0.0023,0.00163,0.00168,0.0018,0.00175
228,E50,LAGO MAYOR,2019-07-14,-15.6685,-69.521,12.0,0.59,16.25,14.0,8.21,6.43,1,4,0.02511,0.03032,0.02802,0.02202,0.02294,0.02094,0.02175,0.02097,0.02003,0.02097,0.01641
229,E51,LAGO MAYOR,2019-07-14,-15.7371,-69.6037,11.0,0.6,9.5,14.0,8.5,6.59,1,4,0.00797,0.01394,0.01154,0.00576,0.00584,0.00475,0.0042,0.00359,0.00288,0.00272,0.00272
230,E52,LAGO MAYOR,2019-07-14,-15.8017,-69.6838,10.0,1.53,10.25,13.1,8.55,6.55,1,4,0.00805,0.01071,0.00929,0.00338,0.00414,0.00313,0.00317,0.00229,0.00191,0.00297,0.00277
231,E53,LAGO MAYOR,2019-07-14,-15.8703,-69.7694,9.0,0.6,5.5,13.3,8.34,6.95,1,4,0.01009,0.01187,0.01016,0.00319,0.00331,0.00223,0.00263,0.00208,0.00185,0.0023,0.00228
232,E58,LAGO MAYOR,2019-07-16,-15.9513,-69.5449,,1.19,10.75,12.9,8.42,6.55,1,4,0.0073,0.01122,0.00993,0.00401,0.00431,0.00347,0.003,0.00247,0.00201,0.00158,0.00127
233,E59,LAGO MAYOR,2019-07-15,-15.8874,-69.4614,11.0,0.24,13.25,13.6,8.42,6.51,1,4,0.0094,0.0103,0.00847,0.00318,0.00368,0.00269,0.00245,0.00197,0.00155,0.00111,0.00127
234,E60,LAGO MAYOR,2019-07-15,-15.8267,-69.3764,11.0,0.95,8.75,13.6,8.33,6.42,1,4,0.01474,0.01331,0.01139,0.00549,0.00599,0.00488,0.00502,0.00403,0.0039,0.00369,0.00333
235,E61,LAGO MAYOR,2019-07-15,-15.7589,-69.3042,11.0,1.02,10.75,13.2,8.56,6.54,1,4,0.00562,0.00944,0.00786,0.00262,0.00325,0.00234,0.00264,0.00133,0.0019,0.00162,0.00165
236,E65,LAGO MAYOR,2019-07-15,-15.6905,-69.2308,,1.1,8.75,12.7,8.56,6.68,1,4,0.00707,0.00868,0.01125,0.00226,0.00248,0.00199,0.00204,0.00131,0.00123,0.00123,0.00115
237,E72,LAGO MAYOR,2019-07-15,-15.6931,-69.1707,6.0,0.68,20.5,11.7,8.56,6.94,1,4,0.00261,0.00957,0.01309,0.00482,0.00454,0.00216,0.00289,0.00137,0.00187,0.00538,0.00488
238,E76,LAGO MAYOR,2019-07-19,-15.8077,-69.0414,9.9,1.1,11.5,12.6,8.45,6.56,1,4,0.00483,0.00961,0.00905,0.0024,0.0023,0.00143,0.00167,0.00057,0.00112,0.00235,0.00245
239,E78,LAGO MAYOR,2019-07-19,-15.8894,-69.1325,12.0,1.1,11.5,13.5,8.47,6.47,1,4,0.00781,0.01236,0.00882,0.00364,0.0044,0.0037,0.00356,0.00191,0.00214,0.00213,0.0015
240,E79,LAGO MAYOR,2019-07-19,-15.9605,-69.2275,9.0,0.51,6.75,12.5,8.79,6.59,1,4,0.01183,0.01337,0.01019,0.0047,0.00353,0.00286,0.00336,0.00312,0.0032,0.00244,0.00206
241,E80,LAGO MAYOR,2019-07-16,-16.0317,-69.3194,11.0,1.02,6.25,13.7,8.5,6.56,1,4,0.00918,0.01016,0.00814,0.00291,0.00332,0.00234,0.00242,0.00175,0.00173,0.00102,0.00186
242,E82,LAGO MAYOR,2019-07-16,-16.1121,-69.4175,9.0,0.08,6.25,13.8,8.37,6.41,1,4,0.00675,0.01139,0.00873,0.00331,0.00419,0.00264,0.00292,0.00205,0.00225,0.00136,0.00122
243,E83,LAGO MAYOR,2019-07-16,-16.1849,-69.5079,10.0,0.51,3.0,13.0,8.53,6.76,1,4,0.0135,0.01522,0.01269,0.00612,0.00663,0.0056,0.00609,0.00398,0.00387,0.00447,0.00385
244,E88,LAGO MAYOR,2019-07-17,-16.2031,-69.3822,11.0,2.21,1.0,13.0,8.44,6.69,1,4,0.01225,0.01535,0.01193,0.00514,0.00403,0.00338,0.00369,0.00296,0.00261,0.0017,0.0015
245,E94,LAGO MAYOR,2019-07-17,-16.2545,-69.2917,8.0,1.02,0.75,13.1,8.44,6.6,1,4,0.0076,0.01343,0.01009,0.00377,0.00386,0.00278,0.00318,0.00174,0.00226,0.00299,0.00274
246,E97,LAGO MAYOR,2019-07-17,-16.1754,-69.1951,10.0,0.95,3.75,13.0,8.5,6.55,1,4,0.00872,0.01376,0.0104,0.00437,0.00335,0.00247,0.00262,0.00204,0.00192,0.00121,0.00109
247,E98,LAGO MAYOR,2019-07-18,-16.1034,-69.1089,7.0,0.51,1.75,13.0,8.4,6.48,1,4,0.00749,0.01034,0.00677,0.00174,0.0011,0.00062,0.001,0.00056,0.00079,0.00187,0.00211
248,E99,LAGO MAYOR,2019-07-20,-16.0824,-69.0817,13.0,2.64,3.5,13.2,8.23,6.22,1,4,0.01034,0.01257,0.01067,0.00591,0.0067,0.00649,0.00687,0.00497,0.00585,0.00841,0.00704
249,E100,LAGO MAYOR,2019-07-20,-16.005,-68.9964,11.0,1.1,5.25,12.4,8.4,5.89,1,8,0.00679,0.0078,0.00494,0.00131,0.0018,0.00139,0.00105,0.00048,0.00052,0.00085,0.00068
250,E103,LAGO MAYOR,2019-07-20,-15.9398,-68.9,,1.62,5.75,12.3,8.43,6.4,1,4,0.00066,0.00297,0.00355,0.0008,0.00174,0.00087,0.00087,0.00017,0.00015,0.00246,0.00319
251,E104,LAGO MAYOR,2019-07-20,-16.0384,-68.8577,10.0,1.02,5.75,12.4,8.45,6.46,1,4,0.00611,0.0075,0.00697,0.00218,0.00358,0.00352,0.00296,0.00141,0.00105,0.0018,0.00173
252,E105,LAGO MAYOR,2019-07-20,-15.9864,-68.8016,,1.53,8.5,12.5,8.46,6.68,1,4,0.0038,0.00977,0.01581,0.00513,0.00729,0.00343,0.00348,0.00155,0.00178,0.00132,0.0013
253,E113,LAGO MAYOR,2019-07-17,-16.2298,-69.1135,9.0,0.67,1.25,13.8,8.46,6.22,1,4,0.0095,0.01535,0.01528,0.00556,0.00444,0.00348,0.00432,0.00346,0.00317,0.00197,0.00195
254,E117,LAGO MAYOR,2019-07-18,-16.1686,-69.0979,10.0,0.59,5.0,13.6,8.44,6.49,1,4,0.01007,0.01452,0.01257,0.00464,0.00309,0.00205,0.00237,0.00144,0.00142,0.00178,0.00213
255,E120,LAGO MAYOR,2019-07-20,-16.1262,-68.9334,11.5,1.19,11.5,13.6,8.35,6.18,1,8,0.00952,0.01409,0.0101,0.00451,0.00388,0.00334,0.0028,0.00285,0.00229,0.00127,0.00154
256,E121,LAGO MAYOR,2019-07-21,-16.2077,-68.8626,11.0,0.59,10.75,12.6,8.42,6.4,1,4,0.0001,0.00045,0.00141,0.0001,0.00038,0.0001,0.00035,0.0001,0.0001,0.00159,0.00201
257,E122,LAGO MENOR,2019-07-21,-16.2281,-68.8351,11.0,1.19,3.75,12.7,8.38,6.5,1,4,0.0001,0.00018,0.00035,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.00166,0.00292
