row_id,station,zona,campaign_date,date,year,month,lat,lon,sensor,event_id,secchi,chl,tss,temp_insitu,B2,B3,B4,B8,B11,B12,NDWI,NDTI,B2_B3,B4_B3,B3_B2,B2_B4
227,E62,LAGO MAYOR,2015-07-25,2015-07-25,2015,7,-15.643,-69.2659,LS,E62|2015-07-25|9.0,9.0,1.1,7.33,13.47,0.014217462272764714,0.01066476744137289,0.004655930826846999,0.002680170794922776,0.0022151218323353435,0.002242418796511404,0.5983239417631478,-0.3922038093254772,1.333124329039298,0.4365712066269331,0.750117460250631,3.0536233779850663
228,E63,LAGO MAYOR,2015-07-25,2015-07-25,2015,7,-15.6259,-69.3171,LS,E63|2015-07-25|10.0,10.0,0.59,0.67,13.52,0.014612294819263807,0.011875164169657854,0.005240192046046227,0.0029197954280139465,0.0016379993532800556,0.0017443405603190382,0.6052985868075352,-0.38766191321579624,1.23049192247023,0.44127319251402103,0.8126829840114848,2.7885031507167306
229,E64,LAGO MAYOR,2015-07-23,2015-07-23,2015,7,-15.5625,-69.2915,LS,E64|2015-07-23|9.0,9.0,1.1,4.67,12.58,0.014220042877643793,0.011043847735396203,0.004805194641970889,0.002642335326539961,0.0020612225045872692,0.0020210506915370203,0.6138681440228777,-0.3936296308163493,1.2875984829516631,0.43510145394964983,0.7766394977696881,2.959305705149464
231,E66,LAGO MAYOR,2015-07-28,2015-07-28,2015,7,-15.951,-69.473,LS,E66|2015-07-28|11.0,11.0,0.52,2.67,12.78,0.014648423287570912,0.011675648225435058,0.005082398870058114,0.0027306180860998674,0.001676474185217075,0.001787384358508502,0.6209124088772817,-0.3934377868953664,1.2546131700890564,0.4352990375033072,0.7970583044445105,2.8821863021579635
232,E67,LAGO MAYOR,2015-07-27,2015-07-27,2015,7,-15.9889,-69.4127,LS,E67|2015-07-27|10.0,10.0,1.69,2.33,13.12,0.014372298565509456,0.011210111022248533,0.004668724868143332,0.0024405461618316124,0.0016533892860548655,0.0018796210689144954,0.6424279871460177,-0.4119562534245397,1.2820834026444143,0.41647441692619913,0.7799803344727436,3.0784198882992153
233,E68,LAGO MAYOR,2015-07-28,2015-07-28,2015,7,-15.9935,-69.4278,LS,E68|2015-07-28|7.0,7.0,1.69,4.33,13.18,0.014813581999831972,0.012187739148940235,0.005206074602589338,0.0028693481368368585,0.001761118815478517,0.0018980684109956942,0.6188707162529901,-0.40138777180761603,1.2154494449998643,0.42715667867615503,0.8227408014035821,2.845441198061773
235,E72,LAGO MAYOR,2015-07-26,2015-07-26,2015,7,-15.6921,-69.1709,LS,E72|2015-07-26|6.0,6.0,1.1,4.67,12.08,0.01584066274170543,0.019337060483590438,0.005739159656603232,0.0023144279338888907,0.0022920714962093858,0.002402295761215127,0.7862106953233025,-0.5422627576525746,0.819186656418708,0.29679585295177974,1.2207228686181668,2.76010094324156
236,E73,LAGO MAYOR,2015-07-26,2015-07-26,2015,7,-15.7202,-69.1628,LS,E73|2015-07-26|5.2,5.2,1.19,7.67,12.84,0.016444524283409926,0.020594010932194054,0.006131510256357458,0.00291348951661681,0.002399801025633034,0.0024822342435669885,0.7521225279546508,-0.5411494141742884,0.7985099910378635,0.2977326747476647,1.2523323463140854,2.6819691909330543
237,E74,LAGO MAYOR,2015-07-26,2015-07-26,2015,7,-15.7656,-69.1477,LS,E74|2015-07-26|8.0,8.0,0.59,3.0,12.98,0.01516454426338672,0.01393682892662675,0.005090928230922336,0.0025162170985972426,0.00178420371464073,0.0020333489195911523,0.6941335431984537,-0.46489453053064406,1.0880913624707715,0.36528595510776507,0.9190403460548092,2.9787379819144184
238,E75,LAGO MAYOR,2015-07-26,2015-07-26,2015,7,-15.7544,-69.087,LS,E75|2015-07-26|5.0,5.0,1.7,3.67,13.67,0.015311638741494228,0.014575279948139699,0.005257250767774672,0.002484687541611564,0.0018303735129651527,0.0019780068933475557,0.7087112976669054,-0.4698355869960813,1.0505210016859754,0.3606963588887579,0.9519084953808697,2.912479641045506
239,E76,LAGO MAYOR,2015-07-26,2015-07-26,2015,7,-15.8125,-69.0449,LS,E76|2015-07-26|8.0,8.0,0.6,1.33,13.97,0.015146480029233168,0.01387697414335991,0.005120780993947114,0.002781065377276952,0.00222281679872275,0.00224856791053847,0.6660992781435944,-0.46090670319837074,1.0914828248057153,0.36901276690672696,0.9161846977246351,2.957845119580694
240,E77,LAGO MAYOR,2015-07-26,2015-07-26,2015,7,-15.8852,-69.0349,LS,E77|2015-07-26|7.5,7.5,0.59,2.0,13.71,0.014578746955835779,0.012147835960095677,0.004894752931045224,0.0026612530607313736,0.002130477202073905,0.0021440329720783446,0.6405918855258942,-0.4255857281891621,1.2001105220398807,0.4029320567212052,0.8332564632364727,2.9784432805435506
241,E78,LAGO MAYOR,2015-07-30,2015-07-30,2015,7,-15.8903,-69.1327,LS,E78|2015-07-30|11.0,11.0,1.11,5.67,12.75,0.015105190351167905,0.012999103988779608,0.005257250767774672,0.00291348951661681,0.0019381030423888078,0.0020333489195911523,0.6338133274710467,-0.42406345079167873,1.1620177207743303,0.4044317491329253,0.8605719508329527,2.873210380327998
242,E79,LAGO MAYOR,2015-07-29,2015-07-29,2015,7,-15.96,-69.2272,LS,E79|2015-07-29|9.0,9.0,1.7,4.67,14.09,0.014666487521724466,0.012274196058103447,0.004796665281106667,0.0025036052758029732,0.002068917470974669,0.002230120568457272,0.6611666986425091,-0.43802888386145655,1.1949040293468016,0.3907925918412643,0.836887168999077,3.0576418416877384
243,E80,LAGO MAYOR,2015-07-29,2015-07-29,2015,7,-16.0316,-69.3198,LS,E80|2015-07-29|10.0,10.0,0.52,4.67,12.88,0.014625197843659201,0.011489433344160449,0.00492034101363789,0.002705394440511325,0.0017534238490911173,0.0018980684109956942,0.6188196445972305,-0.4003157988022524,1.2729258382587405,0.42824919541305995,0.7855915989232329,2.9723945618255825
