station,zona,campaign_date,year,month,sensor,lat,lon,secchi,B2,B3,B4,B8,B11,B12,NDWI,NDTI,B2_B3,B4_B3,B3_B2,B2_B4
E121,LAGO MAYOR,2016-08-12,2016,8,S2,-16.2068,-68.8643,10.5,0.00908,0.00979,0.003,0.00163,0.00291,0.00296,0.7145358393576324,-0.5308834612288147,0.9274769226274849,0.306435106594984,1.078193713855318,3.026665657778114
E01,BAHIA PUNO,2017-07-10,2017,7,S2,-15.853,-69.9605,5.3,0.01126,0.01293,0.00416,0.0036,0.00598,0.00457,0.5644282780140184,-0.513165563887328,0.8708429334228203,0.32173238037645935,1.1483125090308608,2.7067301185744905
E02,BAHIA PUNO,2017-07-11,2017,7,S2,-15.8461,-69.9271,6.0,0.01402,0.01353,0.00427,0.00176,0.00126,0.00112,0.7697841223162772,-0.5202246898750175,1.0362157401170924,0.31559495080599037,0.9650498598395251,3.283371596400094
E05,BAHIA PUNO,2017-07-11,2017,7,S2,-15.84,-69.8923,6.6,0.01398,0.01279,0.00378,0.00152,0.00122,0.00101,0.7875610910159964,-0.5437537390613314,1.0930413531633032,0.2955433701686185,0.914878332269075,3.6984117199968995
E14,BAHIA PUNO,2017-07-12,2017,7,S2,-15.7489,-69.783,10.6,0.01383,0.01185,0.00486,0.00262,0.00184,0.00222,0.6378714141070204,-0.4183123627580872,1.1670885091064551,0.41012654766864576,0.8568329098457765,2.8456784268151387
E15,BAHIA PUNO,2017-07-12,2017,7,S2,-15.715,-69.8226,6.6,0.01333,0.0136,0.0046,0.00282,0.00214,0.00225,0.6565164033790254,-0.4945054673348644,0.9801469867538981,0.3382352692474067,1.020254987227683,2.8978254569944655
E16,BAHIA PUNO,2017-07-12,2017,7,S2,-15.6737,-69.8541,6.0,0.01355,0.01656,0.00599,0.00246,0.00388,0.00358,0.741324882159575,-0.46873612112034946,0.8182366655654189,0.3617149540027202,1.2221401312073703,2.2621031281964727
E17,BAHIA PUNO,2017-07-11,2017,7,S2,-15.6048,-69.9059,4.2,0.01911,0.02317,0.01005,0.00432,0.00534,0.00475,0.6857038673807251,-0.39494279365012663,0.8247733783006742,0.4337505207703703,1.2124541490081555,1.9014923481102142
E28,LAGO MAYOR,2017-07-12,2017,7,S2,-15.3928,-69.7822,10.3,0.01163,0.01162,0.00287,0.00093,0.00148,0.00161,0.8517927608133258,-0.603864692624935,1.0008604990653616,0.24698793055181323,0.999140068861559,4.052263396423903
E32,LAGO MAYOR,2017-07-12,2017,7,S2,-15.3384,-69.7205,7.0,0.01261,0.01233,0.00197,0.00067,0.00146,0.00258,0.8969230079289994,-0.724475473812904,1.0227087572823392,0.1597728986396676,0.9777953229345503,6.401011979181737
E36,LAGO MAYOR,2017-07-13,2017,7,S2,-15.2971,-69.6814,10.8,0.01055,0.01014,0.00151,0.00059,0.0017,0.00185,0.8900278760458643,-0.7407724686032214,1.0404338224424239,0.1489151726908114,0.9611373496552275,6.986750339900437
E39,LAGO MAYOR,2017-07-13,2017,7,S2,-15.3748,-69.5276,8.4,0.00834,0.01022,0.00038,0.0,0.00257,0.00321,0.9999999021526516,-0.9283017992168114,0.8160468868838663,0.03718199244794595,1.2254195173357894,21.947310664971933
E41,LAGO MAYOR,2017-07-13,2017,7,S2,-15.4392,-69.6009,13.0,0.00671,0.00658,0.00104,0.00019,0.00081,0.00078,0.9438698753515693,-0.7270340253236186,1.0197566839275556,0.1580546872257314,0.9806257853016713,6.451916873156854
E42,LAGO MAYOR,2017-07-13,2017,7,S2,-15.4967,-69.6685,14.0,0.0139,0.01165,0.00402,0.00174,0.00137,0.00117,0.7401045003656086,-0.4869176460167425,1.1931329447954553,0.3450643480631461,0.838129436105796,3.4577105826590584
E43,LAGO MAYOR,2017-07-13,2017,7,S2,-15.5603,-69.7411,12.0,0.01341,0.01119,0.00447,0.00241,0.00167,0.00179,0.6455881878243979,-0.4291187465441414,1.1983913138166833,0.39946377127222776,0.8344518393399076,2.9999993288592104
E22,LAGO MAYOR,2017-07-13,2017,7,S2,-15.6181,-69.807,9.0,0.01319,0.01096,0.00349,0.0017,0.00211,0.00251,0.7314375409606998,-0.5169549815256068,1.2034670434792845,0.3184306278804172,0.8309324616427246,3.7793685445935403
E48,LAGO MAYOR,2017-07-15,2017,7,S2,-15.5361,-69.3597,12.0,0.0101,0.00888,0.0032,0.00223,0.00227,0.00186,0.5985598021098287,-0.4701986365729606,1.1373872593032366,0.36036031977924327,0.8792078337417988,3.1562490136721832
E49,LAGO MAYOR,2017-07-15,2017,7,S2,-15.6063,-69.4449,9.0,0.01115,0.0094,0.00383,0.00221,0.00205,0.00195,0.6192936589755678,-0.4210128177616918,1.1861700865776503,0.40744676516523776,0.8430492517444618,2.9112263939356673
E50,LAGO MAYOR,2017-07-15,2017,7,S2,-15.6687,-69.5211,12.0,0.01266,0.01068,0.00502,0.00326,0.00297,0.00293,0.5322811669812649,-0.36050953117773693,1.1853931474350985,0.47003740917252723,0.8436018290993816,2.521911848224731
E51,LAGO MAYOR,2017-07-15,2017,7,S2,-15.7371,-69.6038,9.8,0.01191,0.00965,0.00373,0.00214,0.00144,0.00127,0.6369804379151454,-0.4424513869617798,1.2341967632956723,0.386528457354564,0.810243424832626,3.1930286345767738
E52,LAGO MAYOR,2017-07-15,2017,7,S2,-15.8028,-69.6843,9.0,0.01267,0.01,0.00361,0.00213,0.00195,0.00201,0.6488045631653288,-0.46950768041824537,1.2669998733000127,0.3609999639000036,0.7892659203420742,3.5096943186442333
E59,LAGO MAYOR,2017-07-16,2017,7,S2,-15.8876,-69.4615,10.0,0.01346,0.01023,0.00439,0.00241,0.00208,0.00189,0.6186708371304719,-0.39945277705521365,1.3157378967998148,0.42912996782698265,0.7600296612162213,3.0660585270937295
E60,LAGO MAYOR,2017-07-16,2017,7,S2,-15.8271,-69.3776,10.0,0.01253,0.009,0.00331,0.00143,0.0017,0.00188,0.725790917949097,-0.4622257951075714,1.3922220675308816,0.36777773691358484,0.7182760799460431,3.7854973457711947
E61,LAGO MAYOR,2017-07-16,2017,7,S2,-15.7585,-69.3045,12.8,0.01038,0.00841,0.00287,0.00133,0.00125,0.00097,0.7268993093532538,-0.49113470823273864,1.2342447997330797,0.3412603637026916,0.8102118679950032,3.6167234784935616
E72,LAGO MAYOR,2017-07-16,2017,7,S2,-15.6921,-69.1709,5.8,0.01454,0.01842,0.00424,0.00144,0.00488,0.00435,0.854984851209222,-0.6257722583507388,0.7893593491118704,0.2301845694796651,1.2668499816471814,3.429244474234794
