observed,predicted_unbounded,predicted_bounded
15.0,10.650666701525866,8.891050808755452
16.0,9.325471275514612,8.747114528281639
14.0,9.990352138449236,8.823506521560677
15.0,9.23046770788645,8.735401288459098
11.0,10.118429449626698,8.837203305395397
10.0,11.215363619063314,8.943372868738594
6.0,5.946792032715752,8.108233647728113
8.0,4.988482119150319,7.741358390385055
4.0,5.253731632367758,7.861030611031018
5.5,6.769126505062247,8.324633759101209
6.0,6.6244355518268305,8.29088400827965
9.0,9.278165011771007,8.741308984574648
8.0,8.745020246546305,8.671958967321782
10.0,9.365547843175321,8.751991612525295
9.0,10.29588022244785,8.85568965054438
9.0,9.35368692477732,8.750552112503044
6.0,8.295809733961164,8.607172653303206
9.0,8.552894815846024,8.645028010050538
10.5,9.442918007713278,8.76130216208684
11.0,15.504111231050645,9.234767759005102
4.5,5.173710401767737,7.826763341353228
4.0,7.573764706913423,8.48774470537758
4.5,5.403146785844271,7.921319225005648
4.0,5.446152510363098,7.937853723877854
4.0,6.8791393414566375,8.349277704392422
5.0,6.211258617548327,8.184933570261482
7.0,5.912474913259427,8.097685349614194
8.5,6.235725650221166,8.191648723318107
6.5,7.068405700763572,8.389783370606743
8.0,6.278600186802862,8.203271913021377
9.0,6.864710580472011,8.34609332621466
5.5,8.013318890446355,8.562928111733033
6.0,5.385839111249763,7.914565877747875
6.3,7.71037848589919,8.512011631548699
6.0,7.263968574713668,8.42933662738687
6.0,9.012603049975977,8.707699606161233
7.0,8.67661008290468,8.662496445747621
10.0,9.258412367616035,8.738869109054193
10.5,10.095644060112615,8.83478875176496
10.0,9.802383393276301,8.802839298394389
10.0,10.0578118849776,8.830758672975152
10.5,9.670002281724845,8.787860672229383
11.0,9.385988969934209,8.754464798755578
10.0,9.480749150169753,8.765805218756173
11.0,9.723305342785626,8.79393507601164
9.5,9.765613226597845,8.798714771764583
11.0,8.943303780745687,8.6986314029156
9.0,9.54047192280843,8.772849216710892
10.0,9.217916719717167,8.733837595779562
8.0,8.628314264066113,8.655732524244197
5.0,7.695068303482987,8.50933440567672
5.5,7.438630624102577,8.4628688294739
6.5,8.036103354468253,8.566607021627867
6.0,7.98824747244292,8.558856574563494
5.0,8.98371770301229,8.70393530345554
6.0,8.173726466640222,8.588409762950372
6.0,8.22980338808858,8.597093852407939
6.0,7.941677558768593,8.55122787758932
8.0,9.740973546525657,8.79593557920906
12.0,9.535671902772272,8.772285981896552
9.0,9.74162302763932,8.796008995453317
5.5,9.0405726747599,8.711323693053558
7.0,9.389389255324751,8.754875266172803
6.0,7.501818449793956,8.474612140449148
5.2,7.606255392388685,8.493594284700144
8.0,9.031937146160818,8.71020694783148
5.0,8.85814692065445,8.687310700276491
8.0,9.04373651485702,8.71173235484928
7.5,9.370788938625093,8.752626657580695
11.0,9.542363268583085,8.773071008990852
10.0,9.68729424986071,8.789837734580763
9.0,9.647967047634506,8.78533220919761
6.0,7.893391547453061,8.543226063117908
4.0,7.327538192076139,8.441728369945944
4.0,7.71730808709327,8.513219944334399
5.0,8.093109569262085,8.575724321108579
12.0,9.831000724945765,8.806030519250445
9.0,9.51361697707879,8.769691556225187
12.0,8.65786084067388,8.659878889088061
9.8,10.082312008037341,8.833371558639506
9.0,9.579266834751284,8.777382993409237
10.0,9.822650500485523,8.805101045723028
10.0,9.854009359383326,8.80858447301687
12.8,9.733593729015075,8.795100770078838
5.8,7.070697372629239,8.390259946734545
10.0,9.843312815473745,8.807398463735565
8.0,9.094992625680158,8.718316916542523
9.0,9.055041801298795,8.713190496313677
10.0,9.546662582055385,8.773574885467669
10.0,9.296819138125636,8.743604605598755
8.0,8.93507554131579,8.697546165798798
7.0,9.189267120369447,8.730253788186873
7.5,8.859465646271113,8.687487530536565
7.0,7.996431681404618,8.560188376712983
8.5,9.910561899211292,8.814817526904955
10.0,10.425077609242773,8.868806048186801
11.0,10.593538188535808,8.885494310420974
8.0,8.612968432391385,8.653568575749548
10.0,9.822650500485523,8.805101045723028
9.0,8.852433627007597,8.686544036163902
9.0,9.274480815735908,8.740854616747745
7.5,8.268681625461682,8.60304881017315
7.0,6.37865566823991,8.229708978413687
6.0,7.195875434637853,8.415815326774784
8.0,7.899015640871103,8.544162953780083
5.0,6.136343343236431,8.163989059967896
10.0,7.930695134107978,8.549416201084291
11.0,7.471643111818377,8.469028959601383
6.0,7.575763432882041,8.488105991958026
11.0,8.518517485333295,8.640090152367334
