feature,value,shap,label
B2,0.024100,0.080510,Blue
B2,0.024690,0.083704,Blue
B2,0.026020,-0.009940,Blue
B2,0.025210,-0.007159,Blue
B2,0.024360,0.028267,Blue
B2,0.025610,-0.099927,Blue
B2,0.023870,0.010702,Blue
B2,0.024700,-0.024808,Blue
B2,0.022850,0.050765,Blue
B2,0.022520,-0.013236,Blue
B2,0.023270,-0.030020,Blue
B2,0.022640,-0.027126,Blue
B2,0.024170,-0.038623,Blue
B2,0.022650,-0.007447,Blue
B2,0.024310,0.024060,Blue
B2,0.023240,-0.054090,Blue
B2,0.024950,0.027312,Blue
B2,0.028930,-0.081493,Blue
B2,0.031270,-0.077723,Blue
B2,0.026310,-0.123639,Blue
B2,0.026880,-0.141019,Blue
B2,0.026240,-0.083370,Blue
B2,0.024040,-0.048582,Blue
B2,0.026080,-0.076112,Blue
B2,0.024380,-0.060905,Blue
B2,0.024220,-0.049445,Blue
B2,0.024120,-0.016937,Blue
B2,0.024250,-0.038411,Blue
B2,0.024090,-0.035161,Blue
B2,0.024180,-0.000026,Blue
B2,0.023960,0.003906,Blue
B2,0.026320,-0.011669,Blue
B2,0.024250,-0.049082,Blue
B2,0.026040,-0.005409,Blue
B2,0.026210,-0.051780,Blue
B2,0.026020,-0.002703,Blue
B2,0.023120,-0.019995,Blue
B2,0.026430,0.006693,Blue
B2,0.023580,-0.039441,Blue
B2,0.025190,0.056277,Blue
B2,0.024660,-0.035365,Blue
B2,0.024600,0.017348,Blue
B2,0.023600,0.000578,Blue
B2,0.023120,-0.038477,Blue
B2,0.023970,-0.012838,Blue
B2,0.024170,-0.000941,Blue
B2,0.023810,-0.016440,Blue
B2,0.025960,-0.043373,Blue
B2,0.025370,-0.050034,Blue
B2,0.025690,-0.072854,Blue
B2,0.026160,-0.106485,Blue
B2,0.025430,-0.061626,Blue
B2,0.023990,-0.082771,Blue
B2,0.024170,-0.053493,Blue
B2,0.025650,-0.082956,Blue
B2,0.026640,-0.039389,Blue
B2,0.024300,-0.051916,Blue
B2,0.024480,-0.033083,Blue
