feature,label,value,shap,zona
B3_B2,Green/Blue,0.725734159993322,1.9170217872305597,LAGO MAYOR
B3_B2,Green/Blue,0.997605316206642,-0.9186575811852262,LAGO MAYOR
B3_B2,Green/Blue,0.7973699463616291,0.8103776335327995,LAGO MAYOR
B3_B2,Green/Blue,0.7272205886979606,1.2477036987791792,LAGO MAYOR
B3_B2,Green/Blue,0.7354650735194724,1.2510425767427296,LAGO MAYOR
B3_B2,Green/Blue,0.695405229973917,2.2521739181158202,LAGO MAYOR
B3_B2,Green/Blue,0.7223014397384004,2.0135072629157396,LAGO MAYOR
B3_B2,Green/Blue,0.8210212780852117,1.0671838196965981,LAGO MAYOR
B3_B2,Green/Blue,0.7668553388134155,1.3510881595424227,LAGO MAYOR
B3_B2,Green/Blue,0.8297020529256535,0.9060889255455027,LAGO MAYOR
B3_B2,Green/Blue,0.7902337833401799,0.3804040484702479,LAGO MAYOR
B3_B2,Green/Blue,0.7594862370410838,1.2754889651385601,LAGO MAYOR
B3_B2,Green/Blue,0.8098038686402701,0.827738879633042,LAGO MAYOR
B3_B2,Green/Blue,0.748607736785383,0.7666388663703929,LAGO MAYOR
B3_B2,Green/Blue,0.8509748711020285,0.511684553556914,LAGO MAYOR
B3_B2,Green/Blue,0.7610324095726554,0.6434565133798545,LAGO MAYOR
B3_B2,Green/Blue,0.816128979604582,0.512696102940255,LAGO MAYOR
B3_B2,Green/Blue,0.7702195623878114,0.8905752578573347,LAGO MAYOR
B3_B2,Green/Blue,0.755461539431886,0.8074447770099857,LAGO MAYOR
B3_B2,Green/Blue,0.7575756755870482,0.6887858817211264,LAGO MAYOR
B3_B2,Green/Blue,0.6897904856295176,1.1018545315567618,LAGO MENOR
B3_B2,Green/Blue,1.4889814479463106,-2.444857706346728,LAGO MENOR
B3_B2,Green/Blue,2.141536860820192,-2.6909513223084693,LAGO MENOR
B3_B2,Green/Blue,1.898598042121587,-2.5688287881700704,LAGO MENOR
B3_B2,Green/Blue,1.2108921896140523,-1.777743998936511,LAGO MENOR
B3_B2,Green/Blue,1.1030927166105085,-2.215073319507584,LAGO MENOR
B3_B2,Green/Blue,1.0271580491193963,-1.544254546760146,LAGO MENOR
B3_B2,Green/Blue,1.4259258751450898,-1.9515017726193868,LAGO MENOR
B3_B2,Green/Blue,1.0217735145774538,-1.2449076269526824,LAGO MENOR
B3_B2,Green/Blue,1.0562939383778758,-1.1427966005280725,LAGO MENOR
B3_B2,Green/Blue,1.109381526740365,-1.7398100719678644,LAGO MENOR
B3_B2,Green/Blue,1.29149642437815,-1.7450771342206652,LAGO MENOR
B3_B2,Green/Blue,1.2501249999937467,-1.6208574590211495,BAHIA PUNO
B3_B2,Green/Blue,0.8253109342719884,0.8852742341661991,BAHIA PUNO
B3_B2,Green/Blue,0.8785557506260531,0.17075051110007305,BAHIA PUNO
B3_B2,Green/Blue,0.8174370498866559,0.9120557629058827,BAHIA PUNO
B3_B2,Green/Blue,0.7452513550138908,1.6656838660358755,BAHIA PUNO
B3_B2,Green/Blue,0.8184930946237607,0.5108722783233758,LAGO MAYOR
B3_B2,Green/Blue,0.931818093577832,-0.6018324290508892,LAGO MAYOR
B3_B2,Green/Blue,0.704755567717598,1.679114951591312,LAGO MAYOR
B3_B2,Green/Blue,1.078256245889903,-1.9535044252352036,LAGO MAYOR
B3_B2,Green/Blue,0.8507462134493048,0.9581365784552015,LAGO MAYOR
B3_B2,Green/Blue,0.8326457965441488,0.9710314510351373,LAGO MAYOR
B3_B2,Green/Blue,0.8562138109672102,0.4242951236782846,LAGO MAYOR
B3_B2,Green/Blue,0.8460399077690668,0.5166867568950395,LAGO MAYOR
B3_B2,Green/Blue,1.105509900028728,-1.7363505044487435,LAGO MAYOR
B3_B2,Green/Blue,0.7735388982517128,0.6823923437176775,LAGO MAYOR
B3_B2,Green/Blue,0.7757436479219186,0.7143660087428532,LAGO MAYOR
B3_B2,Green/Blue,0.7692307199211078,1.021122250899302,LAGO MAYOR
B3_B2,Green/Blue,0.7639999490666701,0.8237793754567874,LAGO MAYOR
B3_B2,Green/Blue,0.8212261297668145,1.2731076891163797,LAGO MAYOR
B3_B2,Green/Blue,0.7959936322618012,1.198828992554187,LAGO MAYOR
B3_B2,Green/Blue,0.8076502290901514,1.2034750384383988,LAGO MAYOR
B3_B2,Green/Blue,0.8033372584423566,1.0480395634250326,LAGO MAYOR
B3_B2,Green/Blue,0.8057921292252074,1.0367551782846223,LAGO MAYOR
B3_B2,Green/Blue,0.9002680482430001,-0.6964167868201014,LAGO MAYOR
B3_B2,Green/Blue,0.8106435141928519,0.8668264286920706,LAGO MAYOR
B3_B2,Green/Blue,0.8132803170669514,1.1240803318932304,LAGO MAYOR
B3_B2,Green/Blue,0.8805703576607036,-0.5033516410463733,LAGO MAYOR
B3_B2,Green/Blue,1.157719659965812,-1.9221228692375385,LAGO MAYOR
B3_B2,Green/Blue,0.8319374186522939,1.120734320123559,LAGO MAYOR
B3_B2,Green/Blue,0.7380445941527846,1.5306266325867013,LAGO MAYOR
B3_B2,Green/Blue,0.7954545024104707,1.185325016728114,LAGO MAYOR
B3_B2,Green/Blue,0.8993173549876364,-0.06404804069309121,LAGO MAYOR
B3_B2,Green/Blue,0.7403461557692306,0.9881236315329119,LAGO MAYOR
B3_B2,Green/Blue,0.8124362480919344,1.2109026391994373,LAGO MAYOR
B3_B2,Green/Blue,0.8674862992947951,0.6117013297861064,LAGO MAYOR
B3_B2,Green/Blue,0.8169716684985209,0.7321611110988083,LAGO MAYOR
B3_B2,Green/Blue,0.8098675806337197,0.7321746400565835,LAGO MAYOR
B3_B2,Green/Blue,0.6983775296181763,1.2930080096118903,LAGO MAYOR
B3_B2,Green/Blue,0.5700374104840891,1.0632178927055613,LAGO MAYOR
B3_B2,Green/Blue,0.8251329238608428,0.6369153847272815,LAGO MAYOR
B3_B2,Green/Blue,0.5802662035813466,1.460095690155516,LAGO MAYOR
B3_B2,Green/Blue,0.6874073055692881,1.3676903671089773,LAGO MAYOR
B3_B2,Green/Blue,1.3070174835171984,-1.9020457448288512,LAGO MAYOR
B3_B2,Green/Blue,0.6872615799190253,1.1071850769240268,LAGO MAYOR
B3_B2,Green/Blue,0.7754452432922873,0.6995335866600203,LAGO MAYOR
B3_B2,Green/Blue,0.6310121585777345,1.581809851431174,LAGO MAYOR
B3_B2,Green/Blue,0.7402877165260636,1.240705867509121,LAGO MAYOR
B3_B2,Green/Blue,0.5363183545951886,1.0617921918534106,LAGO MENOR
B3_B2,Green/Blue,1.533036578807375,-2.0077877390145966,LAGO MENOR
B3_B2,Green/Blue,1.1161326592601457,-2.1098536837790403,LAGO MENOR
B3_B2,Green/Blue,1.8129818886258424,-2.0980315411349033,LAGO MENOR
