station,zona,campaign_date,year,sensor,secchi,zone_label,predicted,lower,upper,width,covered
E03,BAHIA PUNO,2018-07-18,2018,LS,7.5,Bahia de Puno,10.702106186591191,7.647211523199024,13.757000849983358,6.109789326784334,False
E16,BAHIA PUNO,2018-07-19,2018,LS,7.0,Bahia de Puno,7.291709906466065,4.362738444653468,10.220681368278662,5.857942923625194,True
E17,BAHIA PUNO,2018-07-19,2018,LS,1.5,Bahia de Puno,7.5230202893402955,4.594048827527699,10.451991751152892,5.857942923625194,False
E28,LAGO MAYOR,2018-07-20,2018,LS,8.0,Lago Mayor,8.334841750340294,4.902304081120622,11.767379419559965,6.865075338439343,True
E32,LAGO MAYOR,2018-07-20,2018,LS,7.0,Lago Mayor,9.02342003344609,5.5908823642264185,12.455957702665762,6.865075338439343,True
E36,LAGO MAYOR,2018-07-20,2018,LS,7.5,Lago Mayor,8.513193426573421,5.08065575735375,11.945731095793093,6.865075338439343,True
E39,LAGO MAYOR,2018-07-21,2018,LS,7.0,Lago Mayor,6.33948566890712,2.9069479996874485,9.772023338126791,6.865075338439343,True
E41,LAGO MAYOR,2018-07-21,2018,LS,8.5,Lago Mayor,11.658005018097835,8.225467348878164,15.090542687317507,6.865075338439343,True
E42,LAGO MAYOR,2018-07-21,2018,LS,10.0,Lago Mayor,11.032460614206572,7.599922944986901,14.464998283426244,6.865075338439343,True
E43,LAGO MAYOR,2018-07-21,2018,LS,11.0,Lago Mayor,11.799495122655106,8.366957453435434,15.232032791874778,6.865075338439343,True
E22,LAGO MAYOR,2018-07-21,2018,LS,8.0,Lago Mayor,8.627951820401822,5.195414151182151,12.060489489621494,6.865075338439343,True
E48,LAGO MAYOR,2018-07-22,2018,LS,11.0,Lago Mayor,11.415239309579308,8.486267847766712,14.344210771391904,5.857942923625192,True
E49,LAGO MAYOR,2018-07-22,2018,LS,13.0,Lago Mayor,12.548461063381062,9.619489601568464,15.47743252519366,5.857942923625195,True
E50,LAGO MAYOR,2018-07-22,2018,LS,11.0,Lago Mayor,12.219769573204566,9.290798111391968,15.148741035017164,5.857942923625195,True
E51,LAGO MAYOR,2018-07-23,2018,LS,10.5,Lago Mayor,13.003720565038913,10.17243617323663,15.835004956841196,5.662568783604566,True
E52,LAGO MAYOR,2018-07-23,2018,LS,12.0,Lago Mayor,10.151867349053388,7.320582957251105,12.983151740855671,5.662568783604566,True
E53,LAGO MAYOR,2018-07-23,2018,LS,9.5,Lago Mayor,8.954793771699308,6.123509379897024,11.78607816350159,5.662568783604566,True
E59,LAGO MAYOR,2017-07-16,2017,LS,10.0,Lago Mayor,9.56447177144658,6.131934102226909,12.997009440666252,6.865075338439343,True
E60,LAGO MAYOR,2018-07-24,2018,LS,13.5,Lago Mayor,11.47534337884338,8.546371917030783,14.404314840655978,5.857942923625195,True
E61,LAGO MAYOR,2018-07-24,2018,LS,13.0,Lago Mayor,12.660284440004437,9.731312978191841,15.589255901817033,5.857942923625192,True
E72,LAGO MAYOR,2018-07-24,2018,LS,4.0,Lago Mayor,7.265987478629667,4.337016016817071,10.194958940442264,5.857942923625194,False
E76,LAGO MAYOR,2018-07-24,2018,LS,13.0,Lago Mayor,10.398804631713137,7.46983316990054,13.327776093525735,5.8579429236251945,True
E78,LAGO MAYOR,2018-07-24,2018,LS,13.0,Lago Mayor,11.380591484256476,8.45162002244388,14.309562946069072,5.857942923625192,True
E79,LAGO MAYOR,2018-07-25,2018,LS,10.5,Lago Mayor,12.638529162153642,9.807244770351359,15.469813553955925,5.662568783604566,True
E80,LAGO MAYOR,2018-07-25,2018,LS,12.3,Lago Mayor,12.573667424087548,9.742383032285264,15.40495181588983,5.662568783604566,True
E82,LAGO MAYOR,2018-07-25,2018,LS,11.0,Lago Mayor,10.251762693398621,7.420478301596338,13.083047085200905,5.662568783604566,True
E83,LAGO MAYOR,2018-07-25,2018,LS,7.0,Lago Mayor,9.744724756561537,6.9134403647592535,12.57600914836382,5.662568783604566,True
E88,LAGO MAYOR,2018-07-25,2018,LS,9.4,Lago Mayor,10.360957128469913,7.52967273666763,13.192241520272196,5.662568783604566,True
E94,LAGO MAYOR,2018-07-26,2018,LS,9.0,Lago Mayor,11.982744634254633,9.15146024245235,14.814029026056916,5.662568783604566,False
E97,LAGO MAYOR,2018-07-26,2018,LS,10.5,Lago Mayor,10.030550922062211,7.199266530259928,12.861835313864495,5.662568783604566,True
E98,LAGO MAYOR,2018-07-26,2018,LS,12.0,Lago Mayor,11.018918174419241,8.187633782616958,13.850202566221524,5.662568783604566,True
E99,LAGO MAYOR,2018-07-28,2018,LS,11.0,Lago Mayor,9.923051467257373,6.868156803865206,12.97794613064954,6.109789326784334,True
E100,LAGO MAYOR,2018-07-28,2018,LS,13.0,Lago Mayor,11.832874275465647,8.77797961207348,14.887768938857814,6.109789326784334,True
E104,LAGO MAYOR,2018-07-28,2018,LS,12.0,Lago Mayor,10.484022893217892,7.429128229825725,13.538917556610059,6.109789326784334,True
E117,LAGO MAYOR,2018-07-26,2018,LS,9.1,Lago Mayor,9.636954291259249,6.805669899456966,12.468238683061532,5.662568783604566,True
E120,LAGO MAYOR,2018-07-28,2018,LS,9.5,Lago Mayor,9.997206459750776,6.942311796358609,13.052101123142943,6.109789326784334,True
E121,LAGO MAYOR,2018-07-28,2018,LS,8.0,Lago Mayor,9.693388760657546,6.638494097265379,12.748283424049713,6.109789326784334,True
E122,LAGO MENOR,2018-07-29,2018,LS,9.0,Lago Menor,9.9656918431332,6.533154173913529,13.398229512352872,6.865075338439343,True
E123,LAGO MENOR,2018-07-29,2018,LS,9.0,Lago Menor,9.527858114531266,6.095320445311595,12.960395783750938,6.865075338439343,True
E125,LAGO MENOR,2018-07-29,2018,LS,7.5,Lago Menor,7.126242480158734,3.6937048109390624,10.558780149378405,6.865075338439343,True
E132,LAGO MENOR,2018-07-29,2018,LS,7.0,Lago Menor,5.528949699890752,2.096412030671081,8.961487369110424,6.865075338439343,True
E130,LAGO MENOR,2018-07-29,2018,LS,6.0,Lago Menor,5.128092002368977,1.6955543331493055,8.560629671588648,6.865075338439343,True
